week_start,customer_id,customer_name,sku_id,category_id,category,sales_dollars,units,avg_price,promo_flag,acv_distribution_pct,velocity_units_per_store,syndicated_share_pct,competitor_share_pct,category_growth_pct,retailer_scan_units,panel_repeat_rate_pct
2025-10-06,CUST01,Central Market Group,CAT03-SKU03,CAT03,Plant-Based Meals,659.37,64,10.3,1,82.0,4.98,37.1,34.2,6.3,68,29.5
2025-10-06,CUST01,Central Market Group,CAT03-SKU04,CAT03,Plant-Based Meals,1492.88,176,8.48,0,80.5,13.7,35.6,34.0,4.4,183,19.1
2025-10-06,CUST01,Central Market Group,CAT03-SKU05,CAT03,Plant-Based Meals,1550.53,187,8.29,0,86.3,14.55,36.8,32.2,7.5,201,27.7
2025-10-06,CUST01,Central Market Group,CAT03-SKU06,CAT03,Plant-Based Meals,400.34,75,5.34,0,84.8,5.84,31.3,29.4,7.9,72,30.0
2025-10-06,CUST01,Central Market Group,CAT04-SKU01,CAT04,Natural Personal Care,2333.32,213,10.95,0,83.9,16.58,50.8,43.4,4.1,210,41.8
2025-10-06,CUST01,Central Market Group,CAT04-SKU02,CAT04,Natural Personal Care,2187.31,211,10.37,0,81.3,16.42,25.4,18.2,4.9,216,28.5
2025-10-06,CUST01,Central Market Group,CAT04-SKU03,CAT04,Natural Personal Care,1370.57,157,8.73,0,71.7,12.22,27.8,24.2,4.8,164,29.7
2025-10-06,CUST01,Central Market Group,CAT04-SKU04,CAT04,Natural Personal Care,1961.63,168,11.68,0,74.2,13.07,32.4,24.7,3.0,179,22.2
2025-10-06,CUST01,Central Market Group,CAT04-SKU05,CAT04,Natural Personal Care,1750.14,150,11.67,0,76.2,11.67,22.0,23.1,10.6,149,28.7
2025-10-06,CUST01,Central Market Group,CAT04-SKU06,CAT04,Natural Personal Care,1913.42,152,12.59,0,67.7,11.83,24.0,21.2,3.5,141,36.9
2025-10-06,CUST01,Central Market Group,CAT05-SKU01,CAT05,Organic Pantry Staples,1899.4,188,10.1,0,92.4,14.63,23.1,21.0,5.5,198,8
2025-10-06,CUST01,Central Market Group,CAT05-SKU02,CAT05,Organic Pantry Staples,1214.97,128,9.49,0,94.0,9.96,34.1,34.0,-1.2,127,8
2025-10-06,CUST01,Central Market Group,CAT05-SKU03,CAT05,Organic Pantry Staples,1092.65,127,8.6,0,85.9,9.88,26.6,23.4,0.1,117,32.4
2025-10-06,CUST01,Central Market Group,CAT05-SKU04,CAT05,Organic Pantry Staples,599.12,91,6.58,1,82.7,7.08,36.7,31.7,3.6,92,30.4
2025-10-06,CUST01,Central Market Group,CAT05-SKU05,CAT05,Organic Pantry Staples,1300.16,108,12.04,0,86.5,8.4,34.0,28.1,1.3,107,31.9
2025-10-06,CUST01,Central Market Group,CAT05-SKU06,CAT05,Organic Pantry Staples,623.73,115,5.42,0,98,8.95,24.0,24.7,0.8,117,45.8
2025-10-06,CUST01,Central Market Group,CAT06-SKU01,CAT06,Fresh Specialty Cheese,1142.76,117,9.77,0,66.7,9.11,19.7,21.0,14.5,122,29.4
2025-10-06,CUST01,Central Market Group,CAT06-SKU02,CAT06,Fresh Specialty Cheese,828.11,148,5.6,0,70.4,11.52,38.2,34.9,5.3,148,29.4
2025-10-06,CUST01,Central Market Group,CAT06-SKU03,CAT06,Fresh Specialty Cheese,941.93,97,9.71,0,74.5,7.55,41.1,33.0,11.3,90,39.0
2025-10-06,CUST01,Central Market Group,CAT06-SKU04,CAT06,Fresh Specialty Cheese,1041.29,95,10.96,0,80.8,7.39,29.8,32.6,7.1,98,26.9
2025-10-06,CUST01,Central Market Group,CAT06-SKU05,CAT06,Fresh Specialty Cheese,922.45,182,5.07,0,70.0,14.16,28.4,27.3,9.2,186,47.9
2025-10-06,CUST01,Central Market Group,CAT06-SKU06,CAT06,Fresh Specialty Cheese,1142.0,111,10.29,0,74.3,8.64,20.5,23.2,6.3,104,24.3
2025-10-06,CUST02,Sproutline Natural Markets,CAT01-SKU01,CAT01,Functional Beverages,514.23,83,6.2,0,68.0,19.58,25.8,19.9,14.0,81,28.6
2025-10-06,CUST02,Sproutline Natural Markets,CAT01-SKU02,CAT01,Functional Beverages,1262.15,183,6.9,1,82.8,43.16,40.9,34.4,11.7,170,24.7
2025-10-06,CUST02,Sproutline Natural Markets,CAT01-SKU03,CAT01,Functional Beverages,852.53,72,11.84,0,90.9,16.98,35.0,27.2,11.1,74,38.6
2025-10-06,CUST02,Sproutline Natural Markets,CAT01-SKU04,CAT01,Functional Beverages,601.97,48,12.54,0,80.5,11.32,42.8,32.4,18.4,51,25.3
2025-10-06,CUST02,Sproutline Natural Markets,CAT01-SKU05,CAT01,Functional Beverages,486.08,59,8.24,1,98,13.92,40.2,34.7,16.5,59,38.2
2025-10-06,CUST02,Sproutline Natural Markets,CAT01-SKU06,CAT01,Functional Beverages,1187.45,173,6.86,0,86.5,40.8,34.5,32.5,10.8,166,37.3
2025-10-06,CUST02,Sproutline Natural Markets,CAT02-SKU01,CAT02,Better-for-You Snacks,1725.47,188,9.18,0,80.7,44.34,28.0,29.6,7.3,174,45.9
2025-10-06,CUST02,Sproutline Natural Markets,CAT02-SKU02,CAT02,Better-for-You Snacks,243.58,61,3.99,1,77.9,14.39,32.6,31.5,2.4,61,35.5
2025-10-06,CUST02,Sproutline Natural Markets,CAT02-SKU03,CAT02,Better-for-You Snacks,914.88,104,8.8,0,84.6,24.53,40.6,31.3,9.5,99,24.4
2025-10-06,CUST02,Sproutline Natural Markets,CAT02-SKU04,CAT02,Better-for-You Snacks,1432.47,115,12.46,0,80.5,27.12,33.5,31.8,4.0,114,19.6
2025-10-06,CUST02,Sproutline Natural Markets,CAT02-SKU05,CAT02,Better-for-You Snacks,1235.46,156,7.92,0,81.5,36.79,43.7,42.8,6.8,159,37.0
2025-10-06,CUST02,Sproutline Natural Markets,CAT02-SKU06,CAT02,Better-for-You Snacks,1083.83,85,12.75,0,91.5,20.05,16.2,21.8,5.4,79,35.4
2025-10-06,CUST02,Sproutline Natural Markets,CAT03-SKU01,CAT03,Plant-Based Meals,872.98,149,5.86,0,86.3,35.14,35.7,31.7,3.7,139,21.8
2025-10-06,CUST02,Sproutline Natural Markets,CAT03-SKU02,CAT03,Plant-Based Meals,1586.41,137,11.58,0,72.6,32.31,41.6,30.7,7.6,139,22.4
2025-10-06,CUST02,Sproutline Natural Markets,CAT03-SKU03,CAT03,Plant-Based Meals,1131.09,98,11.54,0,75.5,23.11,42.2,31.5,0.8,91,32.2
2025-10-06,CUST02,Sproutline Natural Markets,CAT03-SKU04,CAT03,Plant-Based Meals,432.76,55,7.87,0,87.4,12.97,28.6,30.4,12.3,56,35.9
2025-10-06,CUST02,Sproutline Natural Markets,CAT03-SKU05,CAT03,Plant-Based Meals,816.92,105,7.78,0,71.3,24.76,35.9,34.0,7.6,102,26.8
2025-10-06,CUST02,Sproutline Natural Markets,CAT03-SKU06,CAT03,Plant-Based Meals,715.04,127,5.63,0,89.0,29.95,20.6,22.2,1.1,123,31.9
2025-10-06,CUST02,Sproutline Natural Markets,CAT04-SKU01,CAT04,Natural Personal Care,864.86,81,10.68,0,76.8,19.1,14.4,20.4,8.3,76,30.8
2025-10-06,CUST02,Sproutline Natural Markets,CAT04-SKU02,CAT04,Natural Personal Care,625.02,58,10.78,0,88.2,13.68,9.6,16.8,9.2,62,26.2
2025-10-06,CUST02,Sproutline Natural Markets,CAT04-SKU03,CAT04,Natural Personal Care,1670.78,181,9.23,0,75.9,42.69,30.9,28.3,5.2,177,27.0
2025-10-06,CUST02,Sproutline Natural Markets,CAT04-SKU04,CAT04,Natural Personal Care,618.46,53,11.67,0,62.6,12.5,31.3,34.0,0.9,49,28.2
2025-10-06,CUST02,Sproutline Natural Markets,CAT04-SKU05,CAT04,Natural Personal Care,1716.84,143,12.01,0,78.4,33.73,21.7,26.1,3.2,145,23.5
2025-10-06,CUST02,Sproutline Natural Markets,CAT04-SKU06,CAT04,Natural Personal Care,1661.04,132,12.58,0,82.6,31.13,24.5,30.3,-0.7,123,45.6
2025-10-06,CUST02,Sproutline Natural Markets,CAT05-SKU01,CAT05,Organic Pantry Staples,960.9,104,9.24,1,87.8,24.53,40.2,31.1,2.9,111,34.6
2025-10-06,CUST02,Sproutline Natural Markets,CAT05-SKU02,CAT05,Organic Pantry Staples,1349.68,158,8.54,1,85.1,37.26,29.5,30.6,1.7,167,28.0
2025-10-06,CUST02,Sproutline Natural Markets,CAT05-SKU03,CAT05,Organic Pantry Staples,551.21,68,8.11,0,91.9,16.04,28.1,29.1,1.8,65,16.8
2025-10-06,CUST02,Sproutline Natural Markets,CAT05-SKU04,CAT05,Organic Pantry Staples,1260.7,180,7.0,0,77.5,42.45,42.9,32.1,6.2,173,20.8
2025-10-06,CUST02,Sproutline Natural Markets,CAT05-SKU05,CAT05,Organic Pantry Staples,1811.66,150,12.08,0,83.1,35.38,26.6,23.9,0.6,144,16.8
2025-10-06,CUST02,Sproutline Natural Markets,CAT05-SKU06,CAT05,Organic Pantry Staples,446.92,86,5.2,0,80.9,20.28,32.0,31.1,-2.2,88,29.5
2025-10-06,CUST02,Sproutline Natural Markets,CAT06-SKU01,CAT06,Fresh Specialty Cheese,650.3,68,9.56,0,80.2,16.04,28.3,30.0,8.1,72,30.8
2025-10-06,CUST02,Sproutline Natural Markets,CAT06-SKU02,CAT06,Fresh Specialty Cheese,724.31,141,5.14,1,74.3,33.25,44.6,37.0,6.7,149,27.9
2025-10-06,CUST02,Sproutline Natural Markets,CAT06-SKU03,CAT06,Fresh Specialty Cheese,731.76,82,8.92,1,68.9,19.34,47.9,40.9,8.1,84,43.8
2025-10-06,CUST02,Sproutline Natural Markets,CAT06-SKU04,CAT06,Fresh Specialty Cheese,1502.25,140,10.73,0,68.0,33.02,34.4,32.2,7.9,148,28.3
2025-10-06,CUST02,Sproutline Natural Markets,CAT06-SKU05,CAT06,Fresh Specialty Cheese,667.97,133,5.02,0,60.6,31.37,35.7,38.0,10.2,131,25.3
2025-10-06,CUST02,Sproutline Natural Markets,CAT06-SKU06,CAT06,Fresh Specialty Cheese,920.78,90,10.23,0,75.0,21.23,38.4,27.4,8.8,94,37.5
2025-10-06,CUST03,Northstar Independent Co-op,CAT01-SKU01,CAT01,Functional Beverages,581.87,95,6.12,0,91.8,15.52,44.5,38.3,11.6,98,24.1
2025-10-06,CUST03,Northstar Independent Co-op,CAT01-SKU02,CAT01,Functional Beverages,423.17,53,7.98,0,85.9,8.66,25.4,25.9,13.8,50,35.7
2025-10-06,CUST03,Northstar Independent Co-op,CAT01-SKU03,CAT01,Functional Beverages,963.38,87,11.07,0,85.8,14.22,35.4,33.5,15.6,89,28.5
2025-10-06,CUST03,Northstar Independent Co-op,CAT01-SKU04,CAT01,Functional Beverages,527.67,44,11.99,0,76.6,7.19,33.7,30.0,10.6,44,26.1
2025-10-06,CUST03,Northstar Independent Co-op,CAT01-SKU05,CAT01,Functional Beverages,626.32,69,9.08,0,86.0,11.27,20.5,15.1,14.6,65,40.7
2025-10-06,CUST03,Northstar Independent Co-op,CAT01-SKU06,CAT01,Functional Beverages,683.03,100,6.83,0,92.3,16.34,32.2,28.2,17.6,94,46.2
2025-10-06,CUST03,Northstar Independent Co-op,CAT02-SKU01,CAT02,Better-for-You Snacks,1038.55,129,8.05,1,75.9,21.08,33.8,30.9,5.4,122,31.8
2025-10-06,CUST03,Northstar Independent Co-op,CAT02-SKU02,CAT02,Better-for-You Snacks,350.43,88,3.98,1,82.5,14.38,42.8,37.9,5.0,84,36.3
2025-10-06,CUST03,Northstar Independent Co-op,CAT02-SKU03,CAT02,Better-for-You Snacks,693.19,79,8.77,0,83.6,12.91,23.5,26.3,13.1,80,38.2
2025-10-06,CUST03,Northstar Independent Co-op,CAT02-SKU04,CAT02,Better-for-You Snacks,1611.33,130,12.39,0,85.7,21.24,42.1,40.8,4.1,123,31.6
2025-10-06,CUST03,Northstar Independent Co-op,CAT02-SKU05,CAT02,Better-for-You Snacks,583.65,79,7.39,0,92.7,12.91,17.1,13.7,8.2,77,32.3
2025-10-06,CUST03,Northstar Independent Co-op,CAT02-SKU06,CAT02,Better-for-You Snacks,896.81,70,12.81,0,85.9,11.44,34.8,28.9,9.8,71,34.2
2025-10-06,CUST03,Northstar Independent Co-op,CAT03-SKU01,CAT03,Plant-Based Meals,180.51,31,5.82,0,88.3,5.07,38.3,38.3,3.5,30,27.0
2025-10-06,CUST03,Northstar Independent Co-op,CAT03-SKU02,CAT03,Plant-Based Meals,1210.04,120,10.08,1,62.2,19.61,24.2,24.5,8.4,129,31.3
2025-10-06,CUST03,Northstar Independent Co-op,CAT03-SKU03,CAT03,Plant-Based Meals,876.76,80,10.96,1,83.9,13.07,27.0,25.9,4.0,80,35.1
2025-10-06,CUST03,Northstar Independent Co-op,CAT03-SKU04,CAT03,Plant-Based Meals,1003.55,127,7.9,0,86.9,20.75,25.2,27.9,5.9,136,37.4
2025-10-06,CUST03,Northstar Independent Co-op,CAT03-SKU05,CAT03,Plant-Based Meals,399.78,49,8.16,0,83.7,8.01,18.7,18.4,3.6,52,25.2
2025-10-06,CUST03,Northstar Independent Co-op,CAT03-SKU06,CAT03,Plant-Based Meals,255.27,48,5.32,0,65.3,7.84,33.8,27.5,6.7,47,18.1
2025-10-06,CUST03,Northstar Independent Co-op,CAT04-SKU01,CAT04,Natural Personal Care,1118.81,122,9.17,1,69.2,19.93,29.1,25.6,2.6,122,32.6
2025-10-06,CUST03,Northstar Independent Co-op,CAT04-SKU02,CAT04,Natural Personal Care,806.65,91,8.86,1,72.3,14.87,19.5,18.6,0.9,97,41.3
2025-10-06,CUST03,Northstar Independent Co-op,CAT04-SKU03,CAT04,Natural Personal Care,828.32,95,8.72,0,80.5,15.52,27.2,24.8,4.3,92,44.6
2025-10-06,CUST03,Northstar Independent Co-op,CAT04-SKU04,CAT04,Natural Personal Care,618.93,52,11.9,0,74.0,8.5,18.2,28.9,4.1,49,27.7
2025-10-06,CUST03,Northstar Independent Co-op,CAT04-SKU05,CAT04,Natural Personal Care,1236.8,104,11.89,0,69.4,16.99,33.6,28.3,2.1,96,35.5
2025-10-06,CUST03,Northstar Independent Co-op,CAT04-SKU06,CAT04,Natural Personal Care,1297.27,104,12.47,0,65.9,16.99,46.7,48,6.1,111,32.4
2025-10-06,CUST03,Northstar Independent Co-op,CAT05-SKU01,CAT05,Organic Pantry Staples,935.54,96,9.75,0,97.4,15.69,19.5,16.5,4.6,101,31.8
2025-10-06,CUST03,Northstar Independent Co-op,CAT05-SKU02,CAT05,Organic Pantry Staples,633.16,65,9.74,0,80.7,10.62,30.8,25.4,4.4,66,37.2
2025-10-06,CUST03,Northstar Independent Co-op,CAT05-SKU03,CAT05,Organic Pantry Staples,862.93,105,8.22,0,71.9,17.16,32.1,27.8,5.2,106,28.0
2025-10-06,CUST03,Northstar Independent Co-op,CAT05-SKU04,CAT05,Organic Pantry Staples,957.45,142,6.74,1,94.9,23.2,19.7,17.7,3.1,142,42.8
2025-10-06,CUST03,Northstar Independent Co-op,CAT05-SKU05,CAT05,Organic Pantry Staples,1152.64,95,12.13,0,89.5,15.52,20.3,25.1,-3.9,97,33.9
2025-10-06,CUST03,Northstar Independent Co-op,CAT05-SKU06,CAT05,Organic Pantry Staples,545.4,116,4.7,1,79.9,18.95,25.2,21.7,2.9,117,34.7
2025-10-06,CUST03,Northstar Independent Co-op,CAT06-SKU01,CAT06,Fresh Specialty Cheese,975.75,100,9.76,0,78.4,16.34,33.2,35.6,4.7,94,32.1
2025-10-06,CUST03,Northstar Independent Co-op,CAT06-SKU02,CAT06,Fresh Specialty Cheese,329.67,55,5.99,0,66.4,8.99,43.0,35.7,8.1,51,36.5
2025-10-06,CUST03,Northstar Independent Co-op,CAT06-SKU03,CAT06,Fresh Specialty Cheese,372.93,37,10.08,0,78.8,6.05,29.7,29.7,4.9,36,26.7
2025-10-06,CUST03,Northstar Independent Co-op,CAT06-SKU04,CAT06,Fresh Specialty Cheese,990.55,96,10.32,0,70.9,15.69,26.4,26.8,10.1,99,27.6
2025-10-06,CUST03,Northstar Independent Co-op,CAT06-SKU05,CAT06,Fresh Specialty Cheese,275.9,54,5.11,0,65.9,8.82,22.4,18.5,13.6,58,23.7
2025-10-06,CUST03,Northstar Independent Co-op,CAT06-SKU06,CAT06,Fresh Specialty Cheese,1140.8,124,9.2,1,69.4,20.26,45.6,38.4,9.1,132,26.0
2025-10-06,CUST04,Fresh Table Supermarkets,CAT01-SKU01,CAT01,Functional Beverages,1018.33,169,6.03,0,78.8,59.09,36.1,36.7,16.3,176,32.3
2025-10-06,CUST04,Fresh Table Supermarkets,CAT01-SKU02,CAT01,Functional Beverages,427.52,59,7.25,1,77.2,20.63,37.8,33.8,13.0,58,41.3
2025-10-06,CUST04,Fresh Table Supermarkets,CAT01-SKU03,CAT01,Functional Beverages,869.01,77,11.29,0,96.4,26.92,30.6,31.3,16.5,75,24.5
2025-10-06,CUST04,Fresh Table Supermarkets,CAT01-SKU04,CAT01,Functional Beverages,992.42,83,11.96,0,80.6,29.02,32.8,28.0,7.6,78,29.1
2025-10-06,CUST04,Fresh Table Supermarkets,CAT01-SKU05,CAT01,Functional Beverages,772.44,82,9.42,0,92.2,28.67,21.3,21.4,11.6,78,34.8
2025-10-06,CUST04,Fresh Table Supermarkets,CAT01-SKU06,CAT01,Functional Beverages,728.01,105,6.93,0,74.9,36.71,33.5,29.8,14.3,101,23.2
2025-10-06,CUST04,Fresh Table Supermarkets,CAT02-SKU01,CAT02,Better-for-You Snacks,682.22,71,9.61,0,90.7,24.83,32.3,26.2,7.8,67,35.4
2025-10-06,CUST04,Fresh Table Supermarkets,CAT02-SKU02,CAT02,Better-for-You Snacks,459.27,98,4.69,0,87.6,34.27,16.5,20.5,7.4,94,19.4
2025-10-06,CUST04,Fresh Table Supermarkets,CAT02-SKU03,CAT02,Better-for-You Snacks,1409.95,164,8.6,0,80.9,57.34,20.7,24.4,8.1,153,29.9
2025-10-06,CUST04,Fresh Table Supermarkets,CAT02-SKU04,CAT02,Better-for-You Snacks,1055.78,88,12.0,0,87.4,30.77,26.9,32.9,9.4,85,17.6
2025-10-06,CUST04,Fresh Table Supermarkets,CAT02-SKU05,CAT02,Better-for-You Snacks,1048.89,142,7.39,0,98,49.65,32.0,30.2,11.7,131,30.8
2025-10-06,CUST04,Fresh Table Supermarkets,CAT02-SKU06,CAT02,Better-for-You Snacks,692.59,57,12.15,0,92.9,19.93,26.8,30.1,9.9,53,26.2
2025-10-06,CUST04,Fresh Table Supermarkets,CAT03-SKU01,CAT03,Plant-Based Meals,301.93,54,5.59,0,79.7,18.88,25.6,24.1,9.7,54,39.8
2025-10-06,CUST04,Fresh Table Supermarkets,CAT03-SKU02,CAT03,Plant-Based Meals,460.83,38,12.13,0,80.4,13.29,19.5,18.0,5.9,37,33.6
2025-10-06,CUST04,Fresh Table Supermarkets,CAT03-SKU03,CAT03,Plant-Based Meals,1166.72,101,11.55,0,82.8,35.31,29.9,33.8,7.3,104,29.7
2025-10-06,CUST04,Fresh Table Supermarkets,CAT03-SKU04,CAT03,Plant-Based Meals,412.68,52,7.94,0,75.7,18.18,43.2,41.5,6.0,52,22.1
2025-10-06,CUST04,Fresh Table Supermarkets,CAT03-SKU05,CAT03,Plant-Based Meals,987.89,136,7.26,1,82.1,47.55,36.7,31.0,11.4,138,26.6
2025-10-06,CUST04,Fresh Table Supermarkets,CAT03-SKU06,CAT03,Plant-Based Meals,693.77,133,5.22,0,78.5,46.5,21.6,22.3,9.1,132,44.8
2025-10-06,CUST04,Fresh Table Supermarkets,CAT04-SKU01,CAT04,Natural Personal Care,505.24,48,10.53,0,68.5,16.78,26.8,19.8,3.5,46,26.3
2025-10-06,CUST04,Fresh Table Supermarkets,CAT04-SKU02,CAT04,Natural Personal Care,1505.39,149,10.1,0,90.6,52.1,26.0,27.9,2.9,145,22.3
2025-10-06,CUST04,Fresh Table Supermarkets,CAT04-SKU03,CAT04,Natural Personal Care,345.89,38,9.1,0,79.0,13.29,20.3,22.2,-0.3,40,39.5
2025-10-06,CUST04,Fresh Table Supermarkets,CAT04-SKU04,CAT04,Natural Personal Care,387.66,33,11.75,0,66.1,11.54,25.2,24.3,4.7,32,31.1
2025-10-06,CUST04,Fresh Table Supermarkets,CAT04-SKU05,CAT04,Natural Personal Care,1111.93,111,10.02,1,74.7,38.81,24.4,19.6,4.2,102,34.5
2025-10-06,CUST04,Fresh Table Supermarkets,CAT04-SKU06,CAT04,Natural Personal Care,710.25,60,11.84,0,69.7,20.98,21.8,20.2,6.1,64,28.5
2025-10-06,CUST04,Fresh Table Supermarkets,CAT05-SKU01,CAT05,Organic Pantry Staples,759.26,78,9.73,0,81.8,27.27,36.5,28.3,2.7,76,22.4
2025-10-06,CUST04,Fresh Table Supermarkets,CAT05-SKU02,CAT05,Organic Pantry Staples,410.74,43,9.55,0,87.1,15.03,24.4,21.4,1.4,42,27.9
2025-10-06,CUST04,Fresh Table Supermarkets,CAT05-SKU03,CAT05,Organic Pantry Staples,1067.46,129,8.27,0,88.2,45.1,34.4,34.0,4.7,119,40.3
2025-10-06,CUST04,Fresh Table Supermarkets,CAT05-SKU04,CAT05,Organic Pantry Staples,399.19,53,7.53,0,78.1,18.53,37.0,38.7,2.9,53,24.4
2025-10-06,CUST04,Fresh Table Supermarkets,CAT05-SKU05,CAT05,Organic Pantry Staples,843.74,70,12.05,0,90.4,24.48,21.6,12,3.2,64,19.3
2025-10-06,CUST04,Fresh Table Supermarkets,CAT05-SKU06,CAT05,Organic Pantry Staples,690.29,124,5.57,0,71.3,43.36,35.0,34.5,5.5,124,27.3
2025-10-06,CUST04,Fresh Table Supermarkets,CAT06-SKU01,CAT06,Fresh Specialty Cheese,1250.55,142,8.81,1,65.6,49.65,26.8,25.6,9.5,139,40.0
2025-10-06,CUST04,Fresh Table Supermarkets,CAT06-SKU02,CAT06,Fresh Specialty Cheese,457.15,79,5.79,0,63.9,27.62,34.4,34.2,6.4,73,23.8
2025-10-06,CUST04,Fresh Table Supermarkets,CAT06-SKU03,CAT06,Fresh Specialty Cheese,706.85,75,9.42,0,72.3,26.22,31.6,24.0,10.2,77,41.8
2025-10-06,CUST04,Fresh Table Supermarkets,CAT06-SKU04,CAT06,Fresh Specialty Cheese,458.15,52,8.81,1,77.6,18.18,21.8,24.0,9.1,55,26.6
2025-10-06,CUST04,Fresh Table Supermarkets,CAT06-SKU05,CAT06,Fresh Specialty Cheese,189.9,39,4.87,0,75.1,13.64,26.2,24.8,14.8,42,33.6
2025-10-06,CUST04,Fresh Table Supermarkets,CAT06-SKU06,CAT06,Fresh Specialty Cheese,1157.44,115,10.06,0,72.2,40.21,27.5,24.6,7.9,116,29.1
2025-10-06,CUST05,Urban Pantry Express,CAT01-SKU01,CAT01,Functional Beverages,330.73,54,6.12,0,70.1,15.98,35.0,34.5,14.3,57,45.3
2025-10-06,CUST05,Urban Pantry Express,CAT01-SKU02,CAT01,Functional Beverages,246.77,31,7.96,0,84.0,9.17,30.0,24.2,13.9,31,44.9
2025-10-06,CUST05,Urban Pantry Express,CAT01-SKU03,CAT01,Functional Beverages,1060.55,93,11.4,0,75.9,27.51,41.4,33.5,19.2,96,38.8
2025-10-06,CUST05,Urban Pantry Express,CAT01-SKU04,CAT01,Functional Beverages,308.66,26,11.87,0,72.5,7.69,36.2,25.8,13.0,25,25.6
2025-10-06,CUST05,Urban Pantry Express,CAT01-SKU05,CAT01,Functional Beverages,472.96,51,9.27,0,90.2,15.09,32.2,26.0,13.9,51,39.4
2025-10-06,CUST05,Urban Pantry Express,CAT01-SKU06,CAT01,Functional Beverages,801.4,113,7.09,0,96.7,33.43,38.1,33.1,13.7,114,29.3
2025-10-06,CUST05,Urban Pantry Express,CAT02-SKU01,CAT02,Better-for-You Snacks,262.58,27,9.73,0,83.6,7.99,18.8,14.3,4.3,26,31.0
2025-10-06,CUST05,Urban Pantry Express,CAT02-SKU02,CAT02,Better-for-You Snacks,135.59,28,4.84,0,81.0,8.28,17.9,17.1,10.7,27,33.4
2025-10-06,CUST05,Urban Pantry Express,CAT02-SKU03,CAT02,Better-for-You Snacks,267.8,30,8.93,0,94.5,8.88,30.1,25.9,11.5,27,25.0
2025-10-06,CUST05,Urban Pantry Express,CAT02-SKU04,CAT02,Better-for-You Snacks,1122.13,93,12.07,0,92.7,27.51,32.3,31.3,8.5,99,25.7
2025-10-06,CUST05,Urban Pantry Express,CAT02-SKU05,CAT02,Better-for-You Snacks,683.5,92,7.43,0,79.8,27.22,28.6,27.3,6.1,94,22.4
2025-10-06,CUST05,Urban Pantry Express,CAT02-SKU06,CAT02,Better-for-You Snacks,1001.48,88,11.38,1,84.7,26.04,27.1,19.6,8.5,89,24.4
2025-10-06,CUST05,Urban Pantry Express,CAT03-SKU01,CAT03,Plant-Based Meals,183.28,32,5.73,0,81.0,9.47,29.1,24.4,6.4,32,32.5
2025-10-06,CUST05,Urban Pantry Express,CAT03-SKU02,CAT03,Plant-Based Meals,320.93,26,12.34,0,85.2,7.69,22.9,17.6,10.2,24,30.1
2025-10-06,CUST05,Urban Pantry Express,CAT03-SKU03,CAT03,Plant-Based Meals,387.2,31,12.49,0,81.2,9.17,34.9,33.6,6.3,32,36.1
