request_id,request_type,customer_id,category,business_question,impact_score,urgency_score,requirement_clarity_pct,age_days,status
REQ106,Business review slide,CUST03,Organic Pantry Staples,Which promotion is missing expected lift?,10,8,76,6,Ready for review
REQ107,Metric definition,CUST03,Plant-Based Meals,Why do syndicated sales and retailer scans disagree?,5,4,87,37,Ready for review
REQ108,Ad hoc analysis,CUST03,Natural Personal Care,Where are distribution voids suppressing growth?,3,1,46,17,Waiting on data
REQ109,Dashboard change,CUST01,Natural Personal Care,Where are distribution voids suppressing growth?,2,10,78,23,Waiting on data
REQ110,Metric definition,CUST03,Natural Personal Care,Which promotion is missing expected lift?,10,4,67,6,In progress
REQ111,Metric definition,CUST04,Functional Beverages,Which SKU needs assortment or supply follow-up?,8,4,83,34,Published
REQ112,Data issue,CUST03,Fresh Specialty Cheese,Where are distribution voids suppressing growth?,10,7,73,34,New
REQ113,Dashboard change,CUST01,Fresh Specialty Cheese,Which promotion is missing expected lift?,7,7,73,7,In progress
REQ114,Ad hoc analysis,CUST05,Better-for-You Snacks,Which SKU needs assortment or supply follow-up?,7,2,82,26,Waiting on data
REQ115,Ad hoc analysis,CUST01,Functional Beverages,What should go into next customer business review?,10,8,45,24,New
REQ116,Data issue,CUST05,Organic Pantry Staples,Which SKU needs assortment or supply follow-up?,3,10,65,12,Ready for review
REQ117,Metric definition,CUST05,Organic Pantry Staples,Which SKU needs assortment or supply follow-up?,5,9,54,26,Ready for review
REQ118,Business review slide,CUST05,Organic Pantry Staples,Why do syndicated sales and retailer scans disagree?,4,1,89,33,In progress
REQ119,Customer planning question,CUST05,Fresh Specialty Cheese,Where are distribution voids suppressing growth?,4,8,81,29,In progress
REQ120,Customer planning question,CUST03,Fresh Specialty Cheese,What should go into next customer business review?,9,6,91,7,Waiting on data
