check_id,source_system,table_name,check_type,severity,status,freshness_hours,failed_records,owner,recommended_fix
DQ056,Retailer direct POS,weekly_pos,Scan reconciliation,Low,Pass,43,0,Category manager,Backfill missing week and republish dataset
DQ057,Promotion calendar,promotion_calendar,Promotion join coverage,Medium,Fail,19,309,Data engineering,Reconcile retailer scans to distributor shipments
DQ058,Promotion calendar,promotion_calendar,Promotion join coverage,Medium,Watch,55,543,Category manager,Clarify stakeholder metric definition
DQ059,Retailer direct POS,weekly_pos,Scan reconciliation,Medium,Pass,16,0,Data engineering,Reconcile retailer scans to distributor shipments
DQ060,Syndicated POS,weekly_pos,Freshness,Medium,Pass,60,0,BI analyst,Align item hierarchy mapping before business review
DQ061,Item master,skus,Hierarchy completeness,Medium,Fail,8,496,Customer planning,Patch promotion calendar join key
DQ062,Power BI service,power_bi_assets,Refresh SLA,Medium,Pass,19,0,Customer planning,Certify measure after peer review
DQ063,Power BI service,power_bi_assets,Refresh SLA,High,Fail,41,80,Category manager,Patch promotion calendar join key
DQ064,Distributor shipment ERP,distributor_shipments,Order to shipment match,Low,Pass,45,0,Category manager,Backfill missing week and republish dataset
DQ065,Promotion calendar,promotion_calendar,Promotion join coverage,Medium,Pass,11,0,BI analyst,Certify measure after peer review
DQ066,Promotion calendar,promotion_calendar,Promotion join coverage,Critical,Pass,46,0,Category manager,Backfill missing week and republish dataset
DQ067,Distributor shipment ERP,distributor_shipments,Order to shipment match,Critical,Watch,4,588,Data engineering,Clarify stakeholder metric definition
DQ068,Item master,skus,Hierarchy completeness,Medium,Pass,52,0,Data engineering,Align item hierarchy mapping before business review
DQ069,Retailer direct POS,weekly_pos,Scan reconciliation,High,Watch,47,678,Category manager,Align item hierarchy mapping before business review
DQ070,Item master,skus,Hierarchy completeness,Medium,Watch,32,286,Customer planning,Align item hierarchy mapping before business review
DQ071,Syndicated POS,weekly_pos,Freshness,Low,Pass,72,0,Category manager,Certify measure after peer review
DQ072,Planning request tracker,stakeholder_requests,Requirement clarity,High,Pass,67,0,Category manager,Align item hierarchy mapping before business review
DQ073,Power BI service,power_bi_assets,Refresh SLA,Low,Watch,47,314,Data engineering,Backfill missing week and republish dataset
DQ074,Retailer direct POS,weekly_pos,Scan reconciliation,Medium,Fail,7,118,BI analyst,Certify measure after peer review
DQ075,Promotion calendar,promotion_calendar,Promotion join coverage,High,Pass,7,0,Category manager,Align item hierarchy mapping before business review
DQ076,Planning request tracker,stakeholder_requests,Requirement clarity,Low,Pass,47,0,Customer planning,Patch promotion calendar join key
DQ077,Power BI service,power_bi_assets,Refresh SLA,Low,Watch,34,596,Data engineering,Backfill missing week and republish dataset
DQ078,Distributor shipment ERP,distributor_shipments,Order to shipment match,Low,Pass,56,0,Customer planning,Patch promotion calendar join key
DQ079,Planning request tracker,stakeholder_requests,Requirement clarity,Medium,Pass,24,0,Customer planning,Certify measure after peer review
DQ080,Syndicated POS,weekly_pos,Freshness,Medium,Pass,67,0,Category manager,Certify measure after peer review
DQ081,Retailer direct POS,weekly_pos,Scan reconciliation,High,Fail,42,611,Data engineering,Reconcile retailer scans to distributor shipments
DQ082,Retailer direct POS,weekly_pos,Scan reconciliation,Low,Watch,69,865,Category manager,Certify measure after peer review
DQ083,Retailer direct POS,weekly_pos,Scan reconciliation,High,Pass,5,0,BI analyst,Backfill missing week and republish dataset
DQ084,Promotion calendar,promotion_calendar,Promotion join coverage,Low,Pass,58,0,Customer planning,Align item hierarchy mapping before business review
